Gene	GliNS1	G144	G166	G179	CB541	CB660
KIAA0478	4	6	3	0	1	3
KIAA0485	0	0	0	0	0	2
KIAA0493	39	27	149	46	54	26
KIAA0494	239	146	528	454	766	318
KIAA0495	41	15	88	12	21	29
KIAA0507	35	22	27	44	43	29
KIAA0509	3	0	2	0	0	1
KIAA0513	18	14	24	51	24	12
KIAA0515	292	169	358	562	553	333
KIAA0523	124	147	0	2	332	36
KIAA0527	133	306	75	31	241	11
KIAA0528	12	22	27	0	5	22
KIAA0540	0	0	0	1	0	0
KIAA0543	21	41	39	27	19	59
KIAA0553	72	72	126	175	98	122
KIAA0555	91	74	22	44	148	27
KIAA0556	30	16	47	20	23	35
KIAA0562	26	14	64	24	36	26
KIAA0564	4	4	11	0	25	2
KIAA0565	0	5	1	0	0	1
KIAA0574	0	0	0	0	88	11
KIAA0582	92	65	94	67	95	328
KIAA0586	43	24	76	47	43	39
KIAA0590	2	2	3	9	0	3
KIAA0592	1	0	2	0	1	3
KIAA0635	9	14	16	31	44	36
KIAA0644	137	123	4	4	22	87
KIAA0649	17	15	113	78	101	52
KIAA0650	30	34	31	91	37	34
KIAA0652	162	166	274	218	475	149
KIAA0657	134	168	149	429	656	330
KIAA0663	16	19	34	60	42	66
KIAA0664	4	1	69	0	5	5
KIAA0669	112	69	214	248	582	206
KIAA0672	0	0	6	0	8	3
KIAA0674	27	14	59	49	55	60
KIAA0676	96	91	202	199	390	180
KIAA0683	61	28	37	18	83	34
KIAA0685	66	38	55	21	123	49
KIAA0690	84	122	167	71	144	89
KIAA0692	106	56	314	262	204	98
KIAA0701	19	48	122	141	63	31
KIAA0703	9	8	32	6	39	33
KIAA0711	11	9	0	0	13	3
KIAA0720	1	0	2	1	0	0
KIAA0738	253	253	188	866	471	354
KIAA0746	53	77	219	151	265	143
KIAA0748	0	0	1	0	0	0
KIAA0753	6	26	24	27	34	17
KIAA0759	4	3	3	5	0	0
KIAA0767	9	23	6	28	7	8
KIAA0773	76	52	0	18	43	24
KIAA0774	0	2	0	0	0	2
KIAA0776	83	85	296	172	243	98
KIAA0789	0	0	1	0	0	2
KIAA0792	100	73	124	254	162	87
KIAA0794	15	12	44	80	45	21
KIAA0802	44	24	59	170	86	89
KIAA0804	29	22	75	60	72	59
KIAA0825	1	1	0	0	0	0
KIAA0826	25	9	41	26	31	31
KIAA0828	30	31	26	47	86	60
KIAA0830	45	9	14	8	55	8
KIAA0831	11	6	42	8	29	24
KIAA0841	52	41	93	38	56	109
KIAA0853	98	71	151	125	199	130
KIAA0859	80	68	262	237	106	96
KIAA0863	170	131	175	348	165	192
KIAA0870	4	6	43	5	40	4
KIAA0877	620	439	293	483	392	240
KIAA0882	13	2	30	10	12	12
KIAA0888	18	3	131	118	97	90
KIAA0889	14	8	8	9	2	9
KIAA0892	147	141	246	216	225	91
KIAA0895	10	11	22	14	21	19
KIAA0907	104	114	504	44	69	76
KIAA0913	57	29	51	0	53	75
KIAA0922	86	48	48	70	76	89
KIAA0931	35	17	97	98	75	78
KIAA0934	87	68	30	52	32	27
KIAA0947	2450	2078	6493	8718	5298	6354
KIAA0953	1	1	1	0	1	1
KIAA0960	11	28	42	83	31	32
KIAA0961	4	2	11	1	0	5
KIAA0962	18	13	23	0	4	14
KIAA0963	57	12	176	4	49	9
KIAA0971	50	49	210	328	58	97
KIAA0974	43	51	75	64	82	64
KIAA0984	1	0	3	0	0	2
KIAA0992	11	2	62	39	43	39
KIAA0998	28	39	24	126	55	33
KIAA0999	34	55	59	204	275	80
KIAA1001	0	0	8	0	1	1
KIAA1002	0	2	2	0	0	0
KIAA1005	54	37	135	154	97	113
KIAA1008	34	27	61	10	55	50
KIAA1012	69	37	165	70	73	137
KIAA1018	23	24	96	43	108	49
KIAA1024	8	9	53	123	6	10
KIAA1026	6	3	17	1	28	13
KIAA1030	0	0	1	0	0	0
KIAA1033	41	31	66	65	61	42
KIAA1036	5	5	2	0	4	5
KIAA1040	11	16	41	51	60	34
KIAA1043	43	40	48	87	154	102
KIAA1045	1	0	0	0	0	0
KIAA1049	80	63	78	2	21	12
KIAA1055	0	0	11	7	0	2
KIAA1068	73	61	604	161	208	292
KIAA1076	7	0	29	17	0	14
KIAA1078	75	28	71	63	82	108
KIAA1086	0	0	0	0	0	1
KIAA1102	21	9	110	70	35	17
KIAA1107	0	0	13	10	59	3
KIAA1109	31	63	57	58	44	25
KIAA1115	1	5	4	0	0	0
KIAA1117	10	9	16	10	13	9
KIAA1126	7	1	8	26	44	6
KIAA1128	43	53	86	47	306	43
KIAA1143	336	330	417	929	566	419
KIAA1155	3	0	7	0	0	0
KIAA1160	99	97	247	103	140	81
KIAA1161	2	5	61	70	117	18
KIAA1164	36	24	44	11	70	30
KIAA1166	25	13	19	29	9	54
KIAA1171	79	83	106	181	73	58
KIAA1181	31	17	78	4	19	17
KIAA1183	5	4	0	0	14	3
KIAA1185	18	27	152	60	140	57
KIAA1189	1	0	0	0	0	0
KIAA1191	53	32	116	17	56	47
KIAA1193	2	7	28	4	1	2
KIAA1194	58	52	159	70	280	102
KIAA1196	1	0	20	0	0	5
KIAA1199	32	39	26	49	0	16
KIAA1201	2	9	5	1	5	8
KIAA1202	97	70	386	261	150	210
KIAA1205	1	0	2	0	0	1
KIAA1211	114	107	140	165	337	122
KIAA1212	282	271	135	597	566	266
KIAA1217	79	58	185	37	36	26
KIAA1219	255	193	472	769	629	276
KIAA1223	104	98	125	86	65	100
KIAA1229	36	20	82	27	39	49
KIAA1238	42	44	54	28	72	79
KIAA1240	12	17	44	32	24	20
KIAA1244	231	165	345	66	165	204
KIAA1245	0	0	2	0	0	0
KIAA1257	0	0	1	0	3	2
KIAA1267	185	152	390	163	320	194
KIAA1271	26	15	29	2	20	6
KIAA1272	5	3	13	3	224	1
KIAA1274	24	14	8	1	5	19
KIAA1276	148	65	32	61	32	39
KIAA1277	25	6	20	21	14	8
KIAA1279	173	343	399	258	493	228
KIAA1280	8	12	12	12	50	12
KIAA1285	56	18	47	25	84	60
KIAA1287	63	78	119	236	70	48
KIAA1305	5	4	0	0	7	20
KIAA1324	0	0	7	2	0	5
KIAA1327	111	49	145	699	246	128
KIAA1328	7	7	20	9	8	6
KIAA1333	84	64	185	122	113	73
KIAA1337	0	0	0	0	7	0
KIAA1340	21	26	50	27	23	36
KIAA1344	234	169	157	126	104	216
KIAA1345	86	124	85	82	345	102
KIAA1363	17	27	265	437	220	43
KIAA1370	4	9	20	18	78	24
KIAA1374	28	18	98	129	177	66
KIAA1377	2	2	18	15	0	24
KIAA1383	3	7	2	35	0	6
KIAA1387	67	35	95	200	73	74
KIAA1393	2	4	10	4	1	2
KIAA1394	2	1	0	0	0	2
KIAA1404	8	8	23	8	7	5
KIAA1407	16	12	3	21	16	23
KIAA1409	0	2	0	0	0	0
KIAA1411	58	50	96	31	298	100
KIAA1414	51	49	34	84	109	70
KIAA1423	13	11	22	0	30	5
KIAA1429	24	10	59	38	27	19
KIAA1430	395	544	452	697	617	211
KIAA1432	59	24	57	29	133	56
KIAA1434	18	16	90	99	39	31
KIAA1441	1	1	1	0	1	1
KIAA1442	2	1	5	1	6	0
KIAA1443	24	12	29	13	16	13
KIAA1446	2	7	6	46	0	10
KIAA1447	10	1	10	44	32	39
KIAA1450	13	7	27	15	7	8
KIAA1456	7	6	7	0	4	21
KIAA1458	74	76	211	97	149	84
KIAA1462	29	30	45	39	17	46
KIAA1463	70	92	71	78	10	45
KIAA1465	1	1	0	1	4	0
KIAA1467	21	20	15	2	25	25
KIAA1468	100	95	118	196	281	75
KIAA1505	11	11	7	64	4	2
KIAA1509	3	0	6	0	0	8
KIAA1510	82	26	2	1	0	2
KIAA1522	70	63	1176	351	269	296
KIAA1524	36	38	137	75	43	25
KIAA1529	5	13	16	33	100	23
KIAA1530	18	11	33	2	12	9
KIAA1533	3	4	3	0	0	0
KIAA1536	12	7	16	2	18	16
KIAA1539	40	39	150	93	286	77
KIAA1542	21	11	74	80	66	22
KIAA1543	0	0	1	0	1	7
KIAA1545	35	25	84	43	94	68
KIAA1546	11	9	38	42	85	45
KIAA1549	69	58	21	77	55	55
KIAA1553	5	5	11	12	7	15
KIAA1559	44	30	46	80	76	85
KIAA1571	23	50	138	1261	613	180
KIAA1573	9	6	7	0	1	11
KIAA1576	8	9	11	10	24	115
KIAA1579	9	14	33	39	38	38
KIAA1586	56	61	118	87	79	69
KIAA1596	12	25	18	28	14	11
KIAA1598	78	142	44	26	141	104
KIAA1600	53	35	112	67	145	107
KIAA1602	141	52	94	29	165	105
KIAA1604	52	120	196	234	232	79
KIAA1608	46	28	80	39	73	73
KIAA1609	10	13	27	49	8	62
KIAA1613	1	0	0	5	0	0
KIAA1614	3	0	1	0	6	0
KIAA1618	5	2	11	13	18	6
KIAA1622	0	0	0	0	0	2
KIAA1623	44	13	37	11	20	54
KIAA1627	125	131	485	220	585	133
KIAA1632	17	12	23	19	15	14
KIAA1639	0	0	3	0	3	0
KIAA1641	9	17	12	14	13	25
KIAA1644	0	4	1	0	0	3
KIAA1648	31	20	113	94	141	57
KIAA1666	0	0	0	0	5	0
KIAA1671	2	7	5	10	15	17
KIAA1679	1	0	3	0	0	0
KIAA1683	2	1	4	4	24	8
KIAA1688	25	14	8	17	33	53
KIAA1698	22	6	14	2	2	15
KIAA1704	117	146	150	155	109	75
KIAA1706	19	4	15	22	16	10
KIAA1712	50	25	179	117	75	74
KIAA1713	0	0	0	0	0	15
KIAA1715	157	159	198	184	146	77
KIAA1718	17	15	20	31	9	32
KIAA1720	0	0	3	0	1	0
KIAA1726	40	27	66	93	65	60
KIAA1727	283	226	448	216	634	72
KIAA1729	31	29	231	199	248	86
KIAA1731	20	45	34	40	73	19
KIAA1737	7	2	16	0	37	6
KIAA1747	0	4	0	0	0	2
KIAA1754	2	6	97	129	90	42
KIAA1754L	13	6	8	0	1	8
KIAA1755	21	7	2	24	0	3
KIAA1764	1	0	16	0	0	0
KIAA1772	0	0	2	0	0	2
KIAA1786	1	0	0	0	0	0
KIAA1787	37	45	61	73	165	26
KIAA1794	53	49	177	64	110	79
KIAA1797	60	39	66	35	160	34
KIAA1799	63	28	155	135	53	99
KIAA1804	0	0	49	0	11	3
KIAA1815	44	31	169	20	122	61
KIAA1817	33	30	3	172	209	5
KIAA1822	0	0	1	22	0	2
KIAA1822L	0	0	0	7	0	0
KIAA1826	73	114	100	79	238	54
KIAA1833	26	1	43	30	4	9
KIAA1836	16	16	24	134	83	41
KIAA1838	74	47	150	180	132	138
KIAA1840	24	24	83	80	176	59
KIAA1841	27	22	37	17	24	25
KIAA1843	1	2	0	12	25	1
KIAA1853	0	0	0	0	0	1
KIAA1856	56	11	56	2	11	36
KIAA1862	7	1	17	13	9	4
KIAA1875	0	0	2	0	0	1
KIAA1889	3	2	1	0	0	0
KIAA1893	23	7	29	15	15	11
KIAA1904	0	0	8	0	0	0
KIAA1906	2348	1714	1	211	669	46
KIAA1908	2	1	2	14	4	4
KIAA1909	1	0	9	5	24	34
KIAA1912	0	0	0	1	0	0
KIAA1913	4	4	11	0	0	26
KIAA1914	149	121	4	0	0	8
KIAA1915	42	35	49	29	41	28
KIAA1919	0	0	0	0	0	3
KIAA1920	0	0	0	0	0	1
KIAA1922	5	12	10	1	35	15
KIAA1924	24	12	46	24	28	18
KIAA1935	21	23	32	17	61	24
KIAA1937	1	1	0	2	0	1
KIAA1944	1	0	1	0	67	17
KIAA1946	48	45	8	112	51	47
KIAA1949	301	178	608	83	161	67
KIAA1950	0	0	0	0	30	0
KIAA1957	5	0	12	0	13	13
KIAA1958	126	106	70	61	194	47
KIAA1961	205	135	741	433	478	452
KIAA1967	48	17	50	66	111	142
KIAA1970	129	68	215	145	217	168
KIAA1971	3	4	98	25	18	10
KIAA1972	91	79	147	67	328	194
KIAA1977	0	1	0	1	0	1
KIAA1982	2	4	22	13	30	10
KIAA1984	20	18	46	127	90	93
KIAA1991	14	13	66	18	29	29
KIAA2002	18	30	51	30	50	65
KIAA2010	87	80	124	134	290	169
KIAA2013	58	42	135	19	55	22
KIAA2018	24	12	45	20	31	8
KIAA2022	0	0	1	0	0	0
KIAA2025	0	6	7	8	0	0
KIAA2026	186	301	394	400	1832	295
KIBRA	0	0	3	0	3	0
KIDINS220	1465	916	3799	4144	2757	2716
KIF11	333	256	1136	973	410	743
KIF13A	21	11	113	140	27	40
KIF13B	89	84	181	544	172	74
KIF14	40	22	121	97	12	36
KIF15	104	128	412	349	141	219
KIF17	4	1	7	7	8	9
KIF18A	38	17	90	98	20	45
KIF19	0	0	0	0	0	1
KIF1A	142	54	85	0	6	84
KIF1B	423	343	560	299	768	573
KIF1C	117	62	172	124	365	319
KIF2	18	19	113	52	63	86
KIF20A	72	37	697	262	141	180
KIF21A	150	149	128	22	518	69
KIF21B	17	13	2	0	2	12
KIF22	12	12	95	52	48	31
KIF23	5	15	89	68	110	30
KIF24	0	0	1	0	0	0
KIF25	2	0	0	0	0	0
KIF27	3	9	16	0	4	2
KIF2C	51	30	275	38	26	100
KIF3A	64	82	120	87	218	79
KIF3B	66	48	119	240	243	72
KIF3C	77	81	137	17	43	31
KIF4A	84	118	647	711	246	211
KIF5A	527	354	8	31	169	88
KIF5B	880	649	1669	1332	2515	865
KIF5C	471	400	79	101	478	335
KIF6	0	0	3	0	0	0
KIF7	0	0	1	4	1	7
KIF9	15	40	61	51	35	25
KIFAP3	117	98	266	529	407	362
KIFC1	15	3	69	51	8	28
KIFC2	68	20	81	36	102	59
KIFC3	131	76	97	59	250	31
KIN	1939	1340	5179	5429	3843	3550
KIR2DL4	0	0	2	1	0	1
KIRREL	109	64	131	363	571	269
KIRREL2	2	1	2	0	0	7
KIRREL3	2	0	20	10	0	0
KIT	0	8	7	4	0	1
KITLG	4	13	222	764	334	404
KL	0	0	0	0	0	1
KLC2	8	0	52	2	15	6
KLC2L	68	32	79	36	35	50
KLC3	0	0	6	0	0	0
KLC4	42	31	371	133	116	204
KLEIP	149	129	262	45	43	48
KLF10	27	13	192	41	4	62
KLF11	7	0	24	365	146	137
KLF12	76	75	55	85	125	69
KLF13	91	99	216	94	224	94
KLF14	0	0	2	0	0	2
KLF15	18	11	7	0	8	0
KLF16	10	1	24	0	0	0
KLF17	0	0	1	0	0	0
KLF2	2	1	2	2	4	3
KLF3	120	95	462	447	277	296
KLF4	13	0	12	15	0	1
KLF5	7	5	56	7	0	29
KLF6	169	171	245	24	207	50
KLF7	5	5	23	1	4	11
KLF8	2	0	0	3	7	3
KLF9	87	48	152	42	168	13
KLHDC1	3	0	1	32	0	1
KLHDC2	128	77	299	321	497	210
KLHDC3	183	78	286	90	274	376
KLHDC4	30	34	103	216	188	77
KLHDC5	16	20	169	38	60	72
KLHDC8A	1216	1348	6964	2968	3452	1655
KLHDC8B	55	32	69	13	141	46
KLHL1	1	0	0	10	0	0
KLHL10	0	0	0	3	0	0
KLHL11	22	13	71	27	20	92
KLHL12	6	7	23	37	15	8
KLHL13	134	116	502	180	36	82
KLHL14	7	3	0	40	0	3
KLHL15	14	27	302	64	145	57
KLHL17	33	9	39	46	84	36
KLHL18	105	98	260	237	236	96
KLHL2	167	167	697	407	694	332
KLHL20	24	17	105	93	41	93
KLHL21	20	14	124	59	49	27
KLHL22	115	47	224	220	298	217
KLHL24	78	45	132	84	38	79
KLHL25	10	0	28	11	43	105
KLHL26	25	20	86	147	229	53
KLHL3	3	4	8	10	11	41
KLHL4	47	48	133	120	65	13
KLHL5	92	81	463	360	131	97
KLHL6	2	1	0	1	0	1
KLHL7	764	690	779	584	806	518
KLHL8	152	82	176	160	129	167
KLHL9	118	105	125	0	247	232
KLK1	1	0	1	0	0	0
KLK10	4	0	2	1	2	1
KLK14	0	0	2	0	3	0
KLK2	0	0	0	1	0	0
KLK4	1	0	0	0	0	0
KLK6	1	5	0	0	0	0
KLK8	0	0	0	0	0	1
KLKB1	0	0	2	0	0	0
Klkbl4	1	0	0	0	0	0
KLP1	15	1	15	1	6	4
KLPH	6	7	115	67	164	76
KLRA1	7	4	14	37	4	12
KLRC1	0	0	0	17	0	0
KLRC3	1	0	0	35	0	0
KLRF1	1	0	0	0	0	0
KLRG1	12	16	3	31	15	7
KLRK1	1887	1283	5069	5323	3719	3469
KM-HN-1	1	1	2	3	0	1
KMO	21	7	20	32	3	13
KNDC1	0	0	1	0	25	27
KNG1	1	0	0	0	0	3
KNS2	59	29	80	270	294	213
KNSL7	2	6	7	0	2	3
KNSL8	2	0	20	12	4	12
KNTC1	96	65	449	621	183	204
KNTC2	87	152	423	822	711	297
KPNA1	153	173	306	229	384	255
KPNA2	155	108	1128	1454	386	485
KPNA3	86	61	171	75	138	87
KPNA4	291	256	1172	1597	644	387
KPNA5	35	31	39	16	27	24
KPNA6	159	119	625	203	441	247
KPNB1	371	454	1397	712	946	429
KPTN	55	33	37	19	54	32
KRAS	123	139	308	99	687	470
KRAS2	29	18	93	16	100	66
KREMEN1	314	341	158	1034	498	183
KREMEN2	4	9	13	5	0	5
KRIT1	304	474	465	599	315	206
KRT10	570	717	2034	1094	869	464
KRT13	2	0	0	3	0	0
KRT14	0	1	2	0	0	0
KRT15	0	3	1	47	0	0
KRT16	0	0	4	0	0	1
KRT17	22	23	66	1	0	4
KRT18	5	5	639	199	164	112
KRT19	1	0	0	1	2	2
KRT1B	0	0	0	1	0	0
KRT2A	0	1	0	0	0	0
KRT7	0	0	100	46	9	1
KRT8	0	0	129	2	7	17
KRT8L2	6	4	18	5	26	23
KRT9	1	0	0	0	0	0
KRTAP12-1	1884	1274	5023	5310	3702	3469
KRTAP21-1	34	58	2	0	0	0
KRTAP3-2	0	0	0	0	0	1
KRTAP4-12	0	0	0	1	0	0
KRTAP4-2	41	21	104	116	100	90
KRTAP4-7	14	19	231	81	69	42
KRTAP5-1	1	0	5	0	0	0
KRTCAP2	114	61	1145	375	578	358
KRTCAP3	1	3	7	0	1	4
KRTHB1	0	0	11	0	0	0
KRTHB3	0	0	11	0	0	0
KRTHB6	0	0	6	0	0	0
KSP37	1244	430	1	75	0	2
KSR	73	65	208	72	429	97
KSR1	1	0	3	6	4	1
KTI12	9	11	73	23	42	24
KTN1	268	448	655	511	198	289
Kua-UEV	144	84	485	189	351	252
KUB3	103	184	55	273	31	13
KYNU	0	0	19	11	3	3
L1CAM	50	20	2	0	2	8
L2HGDH	0	0	0	7	0	0
L3MBTL	13	11	22	37	33	35
L3MBTL2	25	9	22	24	52	36
L3MBTL3	45	23	301	339	226	149
L3MBTL4	37	35	17	380	0	0
LA16c-360B4.1	19	7	11	6	12	13
LACE1	12	27	35	46	17	11
LACTB	26	30	184	53	147	72
LACTB2	42	60	59	183	110	62
LAD1	0	1	0	0	0	5
LAF4	26	29	88	148	21	31
LAG3	0	0	0	0	9	1
LAIR1	4	7	9	0	0	3
LAMA1	0	0	8	84	0	59
LAMA2	53	15	15	33	961	172
LAMA3	1	0	18	12	17	5
LAMA4	502	476	56	159	53	60
LAMA5	87	55	444	238	310	136
LAMB1	914	634	351	895	294	200
LAMB2	225	177	588	530	1617	488
LAMB3	3	1	27	109	42	0
LAMB4	0	0	2	0	0	0
LAMC1	1467	1051	869	240	1328	550
LAMC2	0	0	10	2	0	4
LAMC3	10	4	0	3	0	2
LAMP1	255	232	394	476	960	557
LAMP2	514	445	2186	3035	902	629
LAMP3	0	0	36	59	0	5
LAMR1	781	732	1191	1208	1261	975
LAMR1P15	0	0	3	0	0	1
LANCL1	43	48	96	36	147	58
LANCL2	43	16	100	80	129	70
LANCL3	0	0	1	0	0	2
LAP1B	7	1	13	6	0	1
LAP3	242	192	1177	1505	391	167
LAPTM4A	718	591	2976	4504	3177	2371
LAPTM4B	1620	990	609	1455	642	1463
LAPTM5	0	1	7	1	0	0
LARGE	5	6	15	7	10	9
LARP	138	142	397	76	381	142
LARP1	192	136	825	264	314	147
LARP2	24	28	257	24	78	40
LARP4	62	66	204	300	205	71
LARP5	45	29	153	124	83	92
LARP6	16	20	356	119	92	79
LARS	290	316	1468	561	635	356
LARS2	39	14	45	75	53	34
LAS1L	64	36	90	27	9	36
LASP1	160	73	176	115	223	563
LASS1	118	73	10	9	218	33
LASS2	240	187	967	649	1625	932
LASS3	0	1	1	0	0	1
LASS4	73	50	100	11	36	36
LASS5	72	65	152	163	386	129
LASS6	112	71	58	36	157	76
LAT	4	6	6	11	2	1
LAT1-3TM	3	5	5	19	3	1
LAT2	1	1	0	0	9	1
LATS1	51	44	190	100	112	76
LATS2	37	26	161	23	100	33
LAX1	5	2	5	2	5	3
LAYN	0	1	24	11	0	0
LBA1	0	0	12	6	3	1
LBH	31	23	67	28	112	57
LBP	0	0	2	0	0	0
LBR	318	236	418	445	379	399
LBX2	2	1	2	0	0	0
LCAT	23	17	80	40	179	54
LCE1C	8	1	0	0	0	0
LCE1E	1	0	0	0	0	0
LCHN	18	7	19	13	25	9
LCMT1	71	58	333	344	210	174
LCMT2	7	9	13	14	30	23
LCN12	1	0	0	0	0	0
LCN2	0	0	1	0	0	0
LCN7	0	0	1	0	0	0
LCP1	0	0	3	0	0	0
LCP2	1	1	1	3	0	0
LDB1	5	3	4	2	3	1
LDB2	330	107	2	4	5	24
LDB3	1	1	2	0	1	5
LDHA	143	137	1077	1150	183	135
LDHAL6A	0	0	0	0	1	0
LDHB	1203	998	2788	1312	2751	2392
LDHD	0	3	6	18	6	2
LDLR	100	67	291	23	34	55
LDLRAD3	34	22	67	6	63	15
LDLRAP1	11	23	91	33	16	6
LDOC1	13	0	77	0	16	5
LDOC1L	52	29	74	229	326	139
LEAP-2	0	0	1	0	0	1
LECT1	0	5	5	18	0	14
LEF1	216	190	14	15	0	81
LEFTY1	7	0	8	0	0	3
LEFTY2	0	0	0	4	8	25
LEMD1	1	3	877	6	0	54
LEMD2	41	35	283	56	178	44
LEMD3	39	21	121	118	89	68
LENEP	0	0	3	0	0	0
LENG1	14	5	26	10	22	14
LENG4	216	197	192	88	587	292
LENG5	21	6	13	59	57	16
LENG8	467	654	467	397	783	273
LENG9	79	77	56	14	154	27
LEO1	90	100	451	186	544	247
LEP	2992	1625	3655	483	1434	1388
LEPR	221	240	418	192	759	243
LEPRE1	461	255	642	318	309	673
LEPREL1	50	28	21	6	69	62
LEPREL2	168	22	105	1	40	49
LEPROTL1	285	296	228	105	655	132
LEREPO4	67	49	221	129	58	86
LETM1	16	10	54	18	30	12
LETM2	5	2	22	22	0	6
LETMD1	81	63	324	305	0	149
LFNG	42	39	8	43	557	36
LGALS1	1029	294	19445	14343	3571	3034
LGALS14	0	0	1	0	0	0
LGALS2	0	0	0	5	0	0
LGALS3	1881	1970	6075	626	260	446
LGALS3BP	262	148	1901	33	252	78
LGALS4	1	0	6	0	1	1
LGALS7	0	0	9	0	0	0
LGALS8	40	44	89	90	117	34
LGALS9	9	2	13	24	0	0
LGI1	1	3	15	0	9	12
LGI2	143	74	2	12	44	27
LGI3	1	3	0	0	2	1
LGI4	128	89	0	4	0	0
LGICZ	3	4	5	0	0	2
LGMN	139	126	94	67	57	61
LGP1	36	38	77	55	34	12
LGP2	1	0	38	0	0	0
LGR4	56	106	199	174	763	288
LGR5	0	5	0	26	0	63
LGR6	0	0	2	0	63	1
LGR7	0	0	0	0	0	1
LGTN	28	9	132	29	15	44
LHB	1	1	0	0	0	0
LHCGR	17	29	25	11	11	27
LHFP	250	279	151	358	1299	418
LHFPL2	45	41	221	57	24	58
LHFPL3	337	242	11	0	7	14
LHPP	22	28	28	37	31	2
LHX1	1	7	2	0	0	4
LHX2	96	53	67	5	45	246
LHX3	0	0	1	0	0	0
LHX4	5	4	3	0	0	0
LHX6	0	0	2	2	0	2
LHX8	0	0	0	0	0	16
LHX9	0	12	1	0	0	1
LIAS	11	12	68	20	21	27
LIF	17	13	139	785	20	23
LIFR	191	134	76	796	3380	2307
LIG1	30	20	26	15	46	38
LIG3	54	64	162	196	85	92
LIG4	70	47	65	64	35	42
LILRA3	1089	907	8655	6321	2424	1666
LILRB1	78	54	36	33	6	26
LILRB2	0	0	1	0	0	0
LILRB3	0	0	1	0	0	0
LIM2	0	0	0	0	0	1
LIMA1	122	272	289	5	51	37
LIMD1	7	4	16	12	19	10
LIMD2	72	77	55	109	513	335
LIME1	1	0	18	0	0	2
LIMK1	778	673	591	1402	618	224
LIMK2	951	693	855	555	1761	336
LIMR	2	1	6	0	2	2
LIMS1	139	85	218	433	435	211
LIMS2	5	7	6	0	0	2
LIMS3	0	0	11	20	1	1
Lin10	35	24	62	78	38	58
LIN28	0	0	0	0	0	1
LIN7A	28	51	6	135	44	49
LIN7B	15	8	21	16	7	3
LIN7C	52	31	278	113	102	61
LIN9	17	14	46	15	9	32
LINCR	1	2	31	40	0	1
LINS1	2	0	9	0	3	2
LIP8	1	2	3	0	0	1
LIPA	726	487	367	106	194	149
LIPC	0	0	0	0	0	3
LIPE	5	2	9	0	10	2
LIPF	9	8	0	0	0	0
LIPG	0	0	36	76	46	58
LIPH	0	0	6	3	0	0
LIPI	7	1	0	1	18	12
LIPL1	3	3	0	0	0	0
LIPL3	0	0	0	0	1	0
LIPT1	7	21	16	26	9	13
LISCH7	8	2	3	3	0	1
LITAF	268	259	729	445	236	275
LIX1	0	0	7	0	0	99
LIX1L	22	22	68	16	24	67
LKAP	24	12	41	16	4	23
LLGL1	39	16	75	28	172	170
LLGL2	1	0	13	2	1	1
LMAN1	234	319	934	579	297	163
LMAN1L	0	0	0	0	0	1
LMAN2	227	128	610	41	172	117
LMAN2L	71	48	66	130	201	47
LMBR1	90	60	41	165	83	34
LMBR1L	39	43	43	55	54	20
LMBRD1	158	340	234	507	666	208
LMBRD2	96	138	278	776	497	187
LMCD1	144	163	750	603	389	493
LMLN	3	8	23	14	0	3
LMNA	191	138	1190	262	263	91
LMNB1	141	63	283	129	111	123
LMNB2	194	83	185	666	178	222
LMO1	0	0	2	0	0	7
LMO2	13	11	0	7	175	266
LMO3	0	0	0	0	180	368
LMO4	1100	1473	1704	1481	47	197
LMO6	1	0	10	0	0	1
LMO7	168	166	275	340	77	84
LMOD1	4	15	48	2	23	10
LMOD2	0	0	4	2	0	7
LMOD3	39	21	62	30	52	41
LMTK2	88	99	127	252	38	86
LMTK3	18	9	10	10	5	2
LMX1B	0	0	1	0	0	0
LNK	14	30	76	224	49	8
LNPEP	6	6	17	9	18	12
LNX	81	52	297	345	77	121
LNX1	21	6	21	79	33	15
LNX2	20	28	43	40	45	23
LOC112476	0	2	0	1	0	4
LOC112869	3	1	8	1	5	2
LOC112885	4	2	0	0	1	1
LOC112937	1	2	1	7	0	0
LOC113174	0	0	3	0	0	0
LOC113230	8	1	4	0	0	1
LOC113251	3	12	31	24	20	9
LOC113386	128	71	193	250	239	85
LOC113444	32	29	120	80	91	43
LOC113655	1	1	8	12	1	5
LOC114659	6	7	14	0	10	10
LOC114926	40	26	20	111	96	35
LOC114984	6	2	12	0	6	1
LOC114990	0	0	1	0	0	4
LOC115098	195	147	258	49	174	115
LOC115110	0	0	1	1	0	2
LOC115294	34	22	54	50	49	88
LOC115509	25	14	31	22	39	42
LOC115749	0	2	0	6	0	0
LOC116064	154	106	280	171	197	115
LOC116068	7	10	36	13	21	16
LOC116143	42	28	38	22	34	28
LOC116211	7	2	23	8	20	11
LOC116236	14	7	18	5	1	12
LOC116238	0	0	0	1	0	1
LOC116349	14	10	6	10	6	6
LOC116412	1	0	0	0	0	0
LOC116437	1	0	0	0	0	0
LOC119710	128	200	167	254	249	108
LOC120224	1	0	0	0	0	1
LOC120376	1	3	4	0	0	0
LOC120379	2	12	4	39	6	13
LOC121006	0	0	1	0	1	0
LOC121838	1	0	0	0	0	0
LOC121952	0	0	2	0	0	0
LOC122258	0	1	1	3	2	0
LOC123169	0	0	9	0	1	2
LOC123688	1	5	49	13	0	3
